MNEMONIC NAME,FIELD SIZE,DATA ELEMENT DESCRIPTION,BUSINESS RULES AND EDITS,CLARIFICATION / EXPLANATION OF MNEMONIC,FIELD,ANALYSIS
DS180.MG/L,"NUMB 9,2",TOTAL DISSOLVED SOLIDS EVAPORATED @ 180 DEGC,"optional, can be zero",mg/L,~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
H2S.MG/L,"NUMB 9,2",HYDROGEN SULPHIDE,"mandatory, can be zero",H2S mg/L,~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
DSING.MG/L,"NUMB 9,2",TOTAL DISSOLVED SOLIDS AT IGNITION,"optional, can be zero",mg/L,~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
DSCAL.MG/L,"NUMB 9,2",TOTAL DISSOLVED SOLIDS CALCULATED,must be > 0.0,mg/L,~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
RDWTR.,"NUMB 4,3",RELATIVE DENSITY,"optional, can be zero",,~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
RDTMP.DEGC,"NUMB 5,2",RELATIVE DENSITY TEMPERATURE DEGC,"optional, can be zero","Temperature whereby relative density measured, Degrees Celsius",~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
RFIDX.,"NUMB 5,2",REFRACTIVE INDEX ,"optional, can be zero",Refractive index,~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
RFTMP.DEGC,"NUMB 5,2",REFRACTIVE INDEX TEMPERATURE,"optional, can be zero","Temperature whereby refractive index measured, Degrees Celsius",~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
PHOBS.,"NUMB 4,1",OBSERVED PH,must be > 0.0,Observed pH,~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
PHTMP.DEGC,"NUMB 5,2",OBSERVED PH TEMPERATURE,must be > 0.0,"Temperature whereby pH observed, Degrees Celsius",~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
PEOHM.,"NUMB 7,2",RESISTIVITY,"optional, can be zero","Resistivity, Ohm-Meters",~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
PETMP.DEGC,"NUMB 5,2",RESISTIVITY TEMPERATURE,"optional, can be zero","Temperature whereby Resistivity measured, Degrees Celsius",~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
SALT.PCT,"NUMB 5,2",SALINITY TOTAL PERCENTAGE,"optional, can be zero",,~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
GCOM.,CHAR 240,GENERAL COMMENT,"optional, can be zero",Free form general comment,~ WATER SOLIDS AND OTHER MEASUREMENTS,WAN
PASTYPE.,CHAR 7,DIGITAL DATA - DST TEST DATA ,pas-dst,"Drill Stem Test, format",~ VERSION,DST
UNIT.,CHAR 1,UNITS FLAG,(m)etric,Metric Units for AER submission,~ VERSION,DST
VERS.,"NUMB 5,2",AER DIGITAL WELL TEST DATA,4,Current AER version for ASCII test data submission,~ VERSION,DST
UWI.,CHAR 20 ,UNIQUE WELL ID,uwi must be valid and exist on aer database.,Unique Well Identifier - Bottomhole location.,~ WELL INFORMATION,DST
DRILLEG.,NUMB 2 ,DRILLING LEG,"must be 01, 02, 03…09 (cannot be 0 or null)","Drilling Leg (Event or Occurrence). Together with the UWI, this is to help define the bottom of the specific drill hole.",~ WELL INFORMATION,DST
WLIC.,CHAR 9,AER WELL LICENSE NUMBER,well license number must match aer license number for uwi ,AER Well License Number,~ WELL INFORMATION,DST
POOL.,CHAR 1,AER DESIGNATED POOL,must be either (y)es or (n)o.,Within AER Defined Pool / G-Order at time of Drilling? Gas and Fluid Sampling Regulatory Requirements in accordance with AER Guide 40.,~ WELL INFORMATION,DST
FORM.,CHAR 20 ,FORMATION NAME,,Name of the geological formation/zone,~ WELL INFORMATION,DST
FLEXP.,NUMB 2 ,FLUID TYPE EXPECTED,"must have a valid aer fluid code =  (01) oil, (02) gas, (06) water, or (17) crude bitumen","Type of Dominant Fluid Production/Pay (i.e. oil well,  gas well, water well) Predominant fluid type needed to define as oil or gas test",~ WELL INFORMATION,DST
WTYP.,CHAR 1,WELL TYPE INDICATOR ,"mandatory, if [prps] (purpose indicator) = (i)nitial. must be (v)ertical, (d)eviated or (h)orizontal","Flag indicating (V)ertical, (D)eviated, or (H)orizontal Wellbore",~ WELL INFORMATION,DST
DPID.MM,"NUMB 4,1",DRILL PIPE ID,must be < 200,Inside diameter of drilling pipe (mm),~ WELL INFORMATION,DST
PRPS.,CHAR 1,TEST PURPOSE ,"mandatory, must be (i)nitial pressure or (o)ther.","(I)nitial designates test for the fulfillment of AER Guide 40, Initial Pressure Testing Regulatory Requirements.  (O)ther indicates to comply exclusively with Oil & Gas Conservation Regulation 11.100, whereby all DST's must be submitted within 30 days of the Finished Drilling date.",~ TEST DATA,DST
SERCO.,CHAR 5,SERVICE COMPANY CODE,,Company conducting test (see AER Website),~ TEST DATA,DST
CCCO.,CHAR 20,CLOSED CHAMBER COMPANY,"mandatory, if [ttyp] (dst test type code) = (08) or (18).",Name of Company Conducting Closed Chamber Test,~ TEST DATA,DST
TTYP.,CHAR 2 ,DST TEST TYPE CODE,must be valid aer pas-dst test code (see footnote).,,~ TEST DATA,DST
RUNUM.,NUMB 2,RUN NUMBER,,Run Number / Trip Number into Hole - for Testing,~ TEST DATA,DST
TNUM.,NUMB 4,DST NUMBER,,DST Number (i.e. DST no.3),~ TEST DATA,DST
H2SIND.,CHAR 1,H2S INDICATOR,must be (y)es or (n)one.,Flag indicating presence of H2S,~ TEST DATA,DST
TTOPL.M,"NUMB 6,2",TEST/PROD INTERVAL TOP M KB (LOG),[ttopl] (interval top - log) must be > 0.0 and < [tbasl] (interval base - log),"Top of tested or producing interval - in log depth, measured mKB",~ TEST DATA,DST
TBASL.M,"NUMB 6,2",TEST/PROD INTERVAL BASE M KB (LOG),[tbasl] (interval base - log) must be > 0.0 and => [ttopl] (interval top - log)  and cannot be greater than total well depth.,"Base of tested or producing interval - in log depth, measured mKB",~ TEST DATA,DST
TTOPT.M,"NUMB 6,2",TEST/PROD INTERVAL TOP M KB (TVD),"if [prps] (purpose indicator) = (i)nitial. if [wtyp] (well type indicator) = (d)eviated or (h)orizontal, then [ttopt] (interval top - tvd) must be <  [ttopl] (interval base - log), else if  [wtyp] = (v)ertical, then [ttopt] must = [ttopl] ","Top of tested or producing interval - in true vertical depth, calculated mKB",~ TEST DATA,DST
TBAST.M,"NUMB 6,2",TEST/PROD INTERVAL BASE M KB (TVD),"if [prps] (purpose indicator) = (i)nitial. if [wtyp] (well type indicator) = (d)eviated or (h)orizontal, then [tbast] (interval base - tvd) must be <  [tbasl] (interval base - log),  else if  [wtyp] = (v)ertical, then [tbast] must = [tbasl]","Base of tested or producing interval  in true vertical depth, calculated mKB",~ TEST DATA,DST
FTDT.DAY/HR,YYYY MM DD HHHH,TEST FINAL DATE/TIME,must be >= spud date and <= abandoned date and <= submission date,Date/Time test ended,~ TEST DATA,DST
MSRN.,CHAR 1,TEST MISRUN INDICATOR,must be (y)es or (n)o.  if [msrn] = (y)es then [prps] (test purpose) must = (o)ther,Flag indicating Misrun of Test,~ TEST DATA,DST
GSERU.,CHAR 20,GAUGE SERIAL NUMBER USED IN SUMMARY,mandatory,Serial number of Gauge/Recorder used for representative reservoir pressure,~ TEST SUMMARY DATA,DST
SDGAL.M,"NUMB 10,5",REPRESENTATIVE GAUGE DEPTH M (LOG),must be <= [tbasl] (interval base - log),"(LOG) Depth of Gauge/Recorder, representative of reservoir",~ TEST SUMMARY DATA,DST
SDGAT.M,"NUMB 10,5",REPRESENTATIVE GAUGE DEPTH M (TVD),"mandatory, if [prps] (test purpose indicator) = (i)nitial, else optional.   if present and [wtyp] (well type indicator) = (d)eviated or (h)orizontal; [sdgat] (representative gauge depth - tvd) must be <= [sdgal] (representative gauge depth - log), else [sdgat must = [sdgal] ","(TVD) Depth of Gauge/Recorder, representative of reservoir",~ TEST SUMMARY DATA,DST
PRGA.KPAA,"NUMB 8,2",PRESSURE AT GAUGE DEPTH KPAA,"mandatory, if [msrn] (test misrun indicator) = (n)o, otherwise can be null",Most representative shut-in pressure recorded at Gauge/Recorder Depth,~ TEST SUMMARY DATA,DST
PEXTR.KPAA,"NUMB 8,2",REPRESENTATIVE EXTRAP/ FALSE PRESSURE,"mandatory, if [prps] (test purpose) = (i)nitial pressure; must match one entry of [pextr] from [dtfg (n)] table. must be => than [prga] (gauge pressure at end of stage) but cannot exceed [prga] by > 6%.",,~ TEST SUMMARY DATA,DST
PRFFG.KPAA,"NUMB 8,2",FINAL FLOWING PRESSURE AT GAUGE DEPTH KPAA,"mandatory, if [msrn] (test misrun indicator) = (n)o",Final Measured Representative Flowing Gauge/Recorder Pressure kPaa,~ TEST SUMMARY DATA,DST
STGR.KPA/M,"NUMB 5,3",REPRESENTATIVE PRESSURE GRADIENT,"mandatory, if [prps] (test purpose indicator) = (i)nitial. can not be zero. if [msrn] (test misrun indicator) = (y)es, can be null.",,~ TEST SUMMARY DATA,DST
TRES.DEGC,"NUMB 5,2",RESERVOIR TEMPERATURE,"optional. if present, must be > zero",,~ TEST SUMMARY DATA,DST
QGMX.E3M3/D,"NUMB 13,4",MAXIMUM GAS FLOW RATE,"mandatory, if [qgff] (final gas flow rate) > 0.00. can be zero.  ","Maximum Flowing Gas Rate during test, (103m3/d)",~ TEST SUMMARY DATA,DST
QOMX.M3/D,"NUMB 13,4",MAXIMUM  OIL FLOW RATE,"mandatory, if [qoff] (final oil flow rate) > 0.00. can be zero.  ","Maximum Flowing Oil Rate during test, (m3/d)",~ TEST SUMMARY DATA,DST
QWMX.M3/D,"NUMB 13,4",MAXIMUM  WATER FLOW RATE,"mandatory, if [qwff] (final water flow rate) > 0.00. can be zero.  ","Maximum Flowing Water Rate during test, (m3/d)",~ TEST SUMMARY DATA,DST
TFGS.MIN,"NUMB 10,5",TIME FOR FINAL GAS FLOW TO SURFACE,"mandatory, if [qgmx] (maximum gas flow rate) > 0.0, else must be null. can be zero.","Length of time for gas to reach surface (minutes). Note: ""Immediate"" Flow to Surface = 0 (zero) minutes.",~ TEST SUMMARY DATA,DST
TFOS.MIN,"NUMB 10,5",TIME FOR FINAL OIL FLOW TO SURFACE,"mandatory, if [qomx] (maximum oil flow rate) > 0.0, else must be null. can be zero.","Length of time for oil to reach surface (minutes). Note: ""Immediate"" Flow to Surface = 0 (zero) minutes.",~ TEST SUMMARY DATA,DST
TFWS.MIN,"NUMB 10,5",TIME FOR FINAL WATER FLOW TO SURFACE,"mandatory, if [qwmx] (maximum water flow rate) > 0.0, else must be null. can be zero.","Length of time for water to reach surface (minutes). Note: ""Immediate"" Flow to Surface = 0 (zero) minutes.",~ TEST SUMMARY DATA,DST
GENC.,CHAR 240,COMMENT - GENERAL,optional,"Free form comment. Note: IF PRPS = (I), GENC copied to AER Pressure Summary database.",~ TEST SUMMARY DATA,DST
MUTP.,CHAR 12,MUD/DRILLING FLUID TYPE,,Identify fluid used to drill well,~ MUD AND CUSHION,DST
MUWT.KG/M3,"NUMB 9,4",MUD WEIGHT,must be > 300 and < 3000,The measurement of the drilling mud mass/volume,~ MUD AND CUSHION,DST
CUTP.,NUMB 1,CUSHION TYPE CODE,"must = (0) none, (1) water, (2) oil, (3) nitrogen, (4) diesel,  or (5) inhibitor & water",Cushion Fluid used during test.,~ MUD AND CUSHION,DST
CUGP.KPAA,"NUMB 8,2",CUSHION GAS PRESSURE,if cutp (cushion type code) = (3) then cugp (cushion gas pressure) must be present.,Surface Pressure Pumped In (kPaa),~ MUD AND CUSHION,DST
CUIL.M,"NUMB 10,5",INITIAL CUSHION LENGTH,if cutp (cushion type code) <> (0) or (3) then cuil (initial cushion length) must be present.,The length of cushion present during test (m),~ MUD AND CUSHION,DST
LCGR.KPA/M,"NUMB 5,3",LIQUID CUSHION GRADIENT,"if  cutp (cushion type code) <> (0) or (3), then lcgr (liquid cushion gradient) must be present.",Gradient of liquid portion of cushion (kPa/m),~ MUD AND CUSHION,DST
MTST.,CHAR 1,MULTIPLE TEST RECOVERY INDICATOR,"must be either (y)es or (n)o. if [mtst] (multiple test recovery indicator) = (y)es, then >1 [rxxa] (recovery amount) must be reported.",Flag indicating recovery from multiple tests,~ RECOVERIES - DST,DST
RPXX.,CHAR 1,RECOVERY VOLUME TYPE INDICATOR,"must be (v)olume, (h)eight in metres, or (n)one. if [mtst] (multiple test recovery indicator) = (y)es, then [rpxx] (recovery volume type indicator) can not = (n)one.",Flag indicating unit of measure for Recovered amounts,~ RECOVERIES - DST,DST
RXXA.MorM3,"NUMB 13,4",RECOVERY AMOUNT - (M or M3),"[rxxa] must be reported in ""m"" meters if [rpxx] (recovery volume indicator) = (h)eight; [rxxa] must be reported in ""m3"" cubic metres if [rpxx] (recovery volume indicator) = (v)olume.   if [rpxx] = (h)eight, then the total of the first 6 recoveries (amount in meters) can not be > [ttopl] (interval top -log) by more than 10 meters.","Amount of recovery in volume or height as indicated above (see RPXX).      Specific Unit must be noted depending of type of Recovery Amount (i.e. if ""meters"" are to be reported, then Mnemonic must equal [RXXA.M]. However if ""cubic meters"" are to be reported, then Mnemonic must = [RXXA.M3].",~ DATA TABLE - RECOVERIES,DST
RXXC.,NUMB 3,RECOVERY TYPE CODE,[rxxc] (recovery fluid type code) must be valid aer code (see footnote),Recovery Type Code,~ DATA TABLE - RECOVERIES,DST
RXXD.,CHAR 30,RECOVERIES DESCRIPTION,description must be provided if [rpxx] (recovery volume indicator) = (v)olume or (h)eight,Description of Recoveries,~ DATA TABLE - RECOVERIES,DST
MSRNG.,CHAR 1,GAUGE MISRUN INDICATOR,"must be (y)es or (n)o.  match; [gseru] (gauge serial number used in summary) = [gser] (gauge serial number) and if [msrn] (test misrun indicator) = (n)o, then [msrng] must = '(n)o",Flag indicating Gauge/Recorder Misrun (not entire test),~ HEADER DATA - GAUGE (n),DST
GSER.,CHAR 20,GAUGE SERIAL NUMBER,one gauge must match [gseru] (gauge serial number used in summary),Serial or Reference number of Gauge/Recorder. Note: Number required for the ability to audit gauge data.,~ HEADER DATA - GAUGE (n),DST
GTYP.,CHAR 30,GAUGE TYPE,,"Type of gauge used (mechanical or electronic, model)",~ HEADER DATA - GAUGE (n),DST
GMAN.,CHAR 60,GAUGE MANUFACTURER,,Name of manufacturer of Gauge/Recorder,~ HEADER DATA - GAUGE (n),DST
GRNG.KPAA,"NUMB 8,2",MAXIMUM RECORDER RANGE,,Full scale pressure range of Gauge/Recorder (kPaa),~ HEADER DATA - GAUGE (n),DST
GCAL.DAY,YYYY MM DD,DATE OF LAST CALIBRATION,must be < = [ftdt] (final test date/time),Date source Gauge/Recorder last calibrated,~ HEADER DATA - GAUGE (n),DST
GRES.,"NUMB 6,5",RESOLUTION % OF FULL-SCALE,,Published Resolution of Gauge/Recorder (Percentage),~ HEADER DATA - GAUGE (n),DST
GACC.,"NUMB 6,5",ACCURACY % OF FULL-SCALE ,,Published accuracy of Gauge/Recorder (Percentage),~ HEADER DATA - GAUGE (n),DST
SDGL.M,"NUMB 10,5",GAUGE RUN DEPTH M KB (LOG),,Gauge/Recorder depth (Measured Depth/LOG) in mKB,~ HEADER DATA - GAUGE (n),DST
SDGT.M,"NUMB 10,5",GAUGE RUN DEPTH M KB (TVD),"mandatory, if [wtyp] (well type) = (d)eviated or (h)orizontal  ",Gauge/Recorder depth (Calculated Depth/TVD) in mKB,~ HEADER DATA - GAUGE (n),DST
GPOS.,CHAR 1,GAUGE POSITION INDICTOR ,"[gpos] (gauge position indicator) must be (i)nside, (o)utside, (r)ecovery, (b)elow straddle, i(n)flate, or (u)nknown/other.  if [gseru] = [gser] [gpos] can not be = (u)nknown/other","Flag indicating position of Gauge/Recorder - (I)nside, (O)utside, Fluid/(R)ecovery, (B)elow Straddle, I(N)flate, of (U)nknown/Other",~ HEADER DATA - GAUGE (n),DST
TIME.DAY/HR/SS,YYYY MM DD HHHH:SS,REAL TIME,if [msrn] (test misrun indicator) = (y)es can be null; if present must be >= spud date and <= abandoned date and <= submission date,24 Hour Clock.,~ DATA TABLE - FLOWING SUMMARY - GAUGE (n),DST
STGE.,CHAR 2,STAGE NUMBER,"if [msrn] (test misrun indicator) = (y)es, can be null",Test stage number,~ DATA TABLE - FLOWING SUMMARY - GAUGE (n),DST
FSTGC.,CHAR 22,STAGE DESCRIPTION,"if [msrn] (test misrun indicator) = (y)es, can be null","(i.e. Initial Hydrostatic, Start of 1st Flow)",~ DATA TABLE - FLOWING SUMMARY - GAUGE (n),DST
PRGA.KPAA,"NUMB 8,2",GAUGE  PRESSURE AT END OF STAGE,"mandatory, if [msrn] (test misrun indicator) = (n)o, else can be null",Primary Gauge/Recorder pressure,~ DATA TABLE - FLOWING SUMMARY - GAUGE (n),DST
TSTD.MIN,"NUMB 10,5",STAGE DURATION MINUTES,"if [msrn] (test misrun indicator) = (y)es, can be null. one occurrence per table must be > 0.0",Duration of stage,~ DATA TABLE - FLOWING SUMMARY - GAUGE (n),DST
PEXTR.KPAA,"NUMB 8,2",REPRESENTATIVE EXTRAP/ FALSE PRESSURE,"mandatory, if [prps] (test purpose) = (i)nitial, at least one occurrence of [pextr] must be present in table. must be >= [prga] (gauge pressure at end of same stage) but cannot exceed [prga] by > 6%.",,~ DATA TABLE - FLOWING SUMMARY - GAUGE (n),DST
QGFF.E3M3/D,"NUMB 13,4",FINAL GAS FLOW RATE,"mandatory if [msrn] (test misrun indicator) = (n)o, and at least one occurrence per table, can be zero. else can be null.","Flow Rate of Gas, at end of stage (103m3/d).",~ DATA TABLE - FLOWING SUMMARY - GAUGE (n),DST
QOFF.M3/D,"NUMB 13,4",FINAL OIL FLOW RATE,"mandatory if [msrn] (test misrun indicator) = (n)o, and at least one occurrence per table, can be zero. else can be null.","Flow Rate of Oil, at end of stage (m3/d).",~ DATA TABLE - FLOWING SUMMARY - GAUGE (n),DST
QWFF.M3/D,"NUMB 13,4",FINAL WATER FLOW RATE,"mandatory if [msrn] (test misrun indicator) = (n)o, and at least one occurrence per table, can be zero. else can be null.","Flow Rate of Water, at end of stage (m3/d).",~ DATA TABLE - FLOWING SUMMARY - GAUGE (n),DST
TIME.DAY/HR/SS,YYYY MM DD HHHH:SS,REAL TIME,"if [msrn] (test misrun indicator) = (n)o, then must be >= spud date and <= abandoned date and <= submission date",24 Hour Clock,~ DATA TABLE - GAUGE (n),DST
PRGA.KPAA,"NUMB 8,2",GAUGE PRESSURE KPAA,,Pressure measured at that interval in time via source Gauge/Recorder,~ DATA TABLE - GAUGE (n),DST
TGA.DEGC,"NUMB 5,2",GAUGE TEMPERATURE,,Temperature measured at that interval in time via source Gauge/Recorder (DegC),~ DATA TABLE - GAUGE (n),DST
GCOM.,CHAR 240,GENERAL COMMENT,optional,Free form comment,~ DATA TABLE - GAUGE (n),DST
TIME.DAY/HR/SS,YYYY MM DD HHHH:SS,REAL TIME,"if [ttyp] (test type indicator) = (08) or (18), then must be >= spud date and <= abandoned date and <= submission date",24 Hour clock,~ DATA TABLE - CLOSED CHAMBER,DST
SDPT.KPAA/MIN,"NUMB 8,2",SURFACE DP/DT KPAA/MIN ,"mandatory, if [ttyp] (test type indicator) = (08) or (18). can be zero and can be negative.",Change in Surface pressure/time,~ DATA TABLE - CLOSED CHAMBER,DST
PSUR.KPAA,"NUMB 8,2",SURFACE PRESSURE,"mandatory, if [ttyp] (test type indicator) = (08) or (18). can not be zero",Surface pressure (kPaa),~ DATA TABLE - CLOSED CHAMBER,DST
RDPT.KPAA/MIN,"NUMB 8,2",RECOVERY DP/DT KPAA/MIN,"optional, if provided can be zero.",Change in recovery pressure/time,~ DATA TABLE - CLOSED CHAMBER,DST
PRCV.KPAA,"NUMB 8,2",RECOVERY PRESSURE,"optional, if provided can not be zero. ",Recovery pressure (kPaa),~ DATA TABLE - CLOSED CHAMBER,DST
QCCLIQ.M3/D,"NUMB 13,4",CALC LIQUID RATE,"mandatory, if [ttyp] (test type indicator) = (08) or (18), and can be zero",m3/d,~ DATA TABLE - CLOSED CHAMBER,DST
QCCGAS.E3M3/D,"NUMB 13,4",CALC GAS RATE,"mandatory, if [ttyp] (test type indicator) = (08) or (18), and can be zero",103m3/d,~ DATA TABLE - CLOSED CHAMBER,DST
PASTYPE.,CHAR 7,DIGITAL DATA - PRODUCTION TEST DATA ,pas-prd,"Field Production Notes - test information, format",~ VERSION,PRD
UNIT.,CHAR 1,UNITS FLAG,(m)etric,Metric Units for AER submission,~ VERSION,PRD
VERS.,"NUMB 5,2",AER DIGITAL WELL TEST DATA,4,Current AER version for ASCII test data submission,~ VERSION,PRD
UWI.,CHAR 20 ,UNIQUE WELL ID,uwi must be valid and exist on aer database.,Unique Well Identifier - Bottomhole location.,~ WELL INFORMATION,PRD
DRILLEG.,NUMB 2 ,DRILLING LEG,"must be 01, 02, 03…09 (cannot be 0 or null)","Drilling Leg (Event or Occurrence). Together with the UWI, this is to help define the bottom of the specific drill hole.",~ WELL INFORMATION,PRD
WLIC.,CHAR 9,AER WELL LICENSE NUMBER,well license number must match aer license number for uwi ,AER Well License Number,~ WELL INFORMATION,PRD
FORM.,CHAR 20 ,FORMATION NAME,,Name of the geological formation/zone,~ WELL INFORMATION,PRD
WSFL.,NUMB 2,WELL FLUID TYPE AT TEST DATE,"must have a valid aer fluid code =  (01) oil, (02) gas, (06) water, or (17) crude bitumen","Type of Dominant Fluid Production/Pay (i.e. oil, gas, water)",~ WELL INFORMATION,PRD
SERCO.,CHAR 5,SERVICE COMPANY CODE,,Company conducting test (see AER Website) ,~ TEST DATA,PRD
RRUN.,CHAR 1,RECORDERS RUN,must be (y)es or (n)o,Flag indicating Pressure Gauges ran during operations,~ TEST DATA,PRD
TTOPL.M,"NUMB 6,2",TEST/PROD. INTERVAL TOP M KB (LOG),[ttopl] (interval top - log) must be > 0.0 and < [tbasl] (interval base - log),"Top of tested or producing interval - in log depth, measured mKB",~ TEST DATA,PRD
TBASL.M,"NUMB 6,2",TEST/PROD. INTERVAL BASE M KB (LOG),[tbasl] (interval base - log) must be > 0.0 and => [ttopl] (interval top - log)  and cannot be greater than total well depth.,"Base of tested or producing interval - in log depth, measured mKB",~ TEST DATA,PRD
FTDT.DAY/HR,YYYY MM DD HHHH,TEST FINAL  DATE/TIME,must be >= spud date and <= abandoned date and <= submission date,Date/time of last measured flowrate,~ TEST DATA,PRD
FLGAS.E3M3,"NUMB 13,4",GAS FLARED E3M3,"mandatory, must be >= 0.0",(103m3) Over duration of reported production in DTSUM Table,~ TEST DATA,PRD
INGAS.E3M3,"NUMB 13,4",GAS INCINERATED E3M3,"mandatory, must be >= 0.0",(103m3) Over duration of reported production in DTSUM Table,~ TEST DATA,PRD
PLGAS.E3M3,"NUMB 13,4",GAS PRODUCED TO PIPELINE E3M3,"mandatory, must be >= 0.0",(103m3) Over duration of reported production in DTSUM Table,~ TEST DATA,PRD
VNGAS.E2M3,"NUMB 13,4",GAS VENTED E3M3,"mandatory, must be >= 0.0",(103m3) Over duration of reported production in DTSUM Table,~ TEST DATA,PRD
MDTYPE.,CHAR 1,METERING DEVICE TYPE INDICATOR ,"must = (p)rover, (o)rifice, (t)urbine, p(i)tiot tube, (c)hoke, (v)-cone, or ot(h)er","Flag - (P)rover, (O)rifice, (T)urbine, P(i)tiot Tube, (C)hoke, (V)-Cone or Ot(H)er",~ METER GAS (n),PRD
RDGAS.,"NUMB 4,3",GAS RELATIVE DENSITY,,,~ METER GAS (n),PRD
N2.FRAC,"NUMB 5,4",NITROGEN,can be zero. can not be null,"Mole fraction, air free as received",~ METER GAS (n),PRD
CO2.FRAC,"NUMB 5,4",CARBON DIOXIDE,can be zero. can not be null,"Mole fraction, air free as received",~ METER GAS (n),PRD
H2S.FRAC,"NUMB 7,6",HYDROGEN SULPHIDE for METERING DEVICE CALC,can be zero. can not be null,"Mole fraction, air free as received",~ METER GAS (n),PRD
PATM.KPA,"NUMB 8,2",ATMOSPHERIC PRESSURE,must be  > 85  and < 105,,~ METER GAS (n),PRD
TAP.,CHAR 1,TAP TYPE INDICATOR,"if [mdtype] (metering device type indicator) = (o)rifice, then must indicate (f)langed or (p)ipe. ",Flag indicating taps (F)langed or (P)ipe,~ METER GAS (n),PRD
TAPL.,CHAR 1,TAP LOCATION INDICATOR,"if [mdtype] (metering device type indicator) = (o)rifice, then must indicate (u)p stream or (d)own stream. ",Flag indicating location of taps (U)p Stream or (D)own stream,~ METER GAS (n),PRD
RSIZ.MM,"NUMB 8,3",METER RUN / PROVER SIZE,"mandatory, must be => 0.0 if [mdtype] (metering device type indicator) = (p)rover, (o)rifice, p(i)tiot, or (v)-cone",Inside diameter of Meter Run / Prover,~ METER GAS (n),PRD
TCON.PULSES/M3,"NUMB 10,5",TURBINE DEVICE CONSTANT,"mandatory, if [mdtype] (metering device type indicator) = (t)urbine. ",,~ METER GAS (n),PRD
ICON.,"NUMB 10,5",PITIOT TUBE DEVICE CONSTANT,"mandatory, if [mdtype] (metering device type indicator) = p(i)tiot",,~ METER GAS (n),PRD
BETA.,"NUMB 10,7",V-CONE BETA RATIO,"mandatory, if [mdtype] (metering device type indicator) = (v), else can be null. can be zero.",V-Cone beta ratio,~ METER GAS (n),PRD
MCOF.,"NUMB 10,7",V-CONE METER COEFFICIENT,"mandatory, if [mdtype] (metering device type indicator) = (v), else can be null. can be zero.",V-Cone Meter coefficient,~ METER GAS (n),PRD
MCOMG.,CHAR 240,COMMENT - GAS METER,,Provides additional information about the meter being used,~ METER GAS (n),PRD
TIME.DAY/HR/SS,YYYY MM DD HHHH:SS,REAL TIME,must be >= spud date and <= abandoned date and <= submission date ,24 Hour clock. Must correspond to [FTDT] (Test Final Date/Time) ,~ DATA TABLE GAS (n),PRD
QGAS.E3M3/D,"NUMB 13,4",GAS RATE,at least one value > = 0.00 must appear in table.,Gas rate reading,~ DATA TABLE GAS (n),PRD
H2S.FRAC,"NUMB 7,6",HYDROGEN SULPHIDE MOLE FRACTION,optional,,~ DATA TABLE GAS (n),PRD
PLATE.MM,"NUMB 8,3",ORIFICE /CHOKE PLATE SIZE,"mandatory, if [mdtype] (metering device type indicator) = (c)hoke or (o)rifice, else null. can be zero",,~ DATA TABLE GAS (n),PRD
STAG.KPAA,"NUMB 8,2",METER PRESSURE (GAS) ,,Pressure used for Super Compressibility Calculation,~ DATA TABLE GAS (n),PRD
DIFG.KPA,"NUMB 8,2",PRESSURE DIFFERENTIAL (GAS),"mandatory, if [mdtype] (metering device type indicator) = (c)hoke, (o)rifice, p(i)tiot, or (v)-cone, else can be zero or null",(kPa),~ DATA TABLE GAS (n),PRD
TMPG.DEGC,"NUMB 5,2",METER TEMPERATURE,,Temperature used for Super Compressibility Calculation,~ DATA TABLE GAS (n),PRD
TRBG.PULSE,"NUMB 8,3 14,3",TURBINE METER READING,"mandatory, if [mdtype] (metering device type indicator) = (t)urbine, else must be null.",,~ DATA TABLE GAS (n),PRD
N2.FRAC,"NUMB 5,4",NITROGEN MOLE FRACTION,optional,,~ DATA TABLE GAS (n),PRD
CO2.FRAC,"NUMB 5,4",CARBON DIOXIDE MOLE FRACTION,optional,,~ DATA TABLE GAS (n),PRD
RCOMP.,CHAR 240,GAS COMPOSITION COMMENT,optional,Gas composition as measured throughout the test,~ DATA TABLE GAS (n),PRD
LIQT.,CHAR 1,LIQUID TYPE INDICATOR,must be (o)il or (c)ondensate or (w)ater,"Flag indicating (O)il, (W)ater, (C)ondensate",~ METER LIQUID (n),PRD
LQMTYP.,CHAR 1,METERING DEVICE TYPE INDICATOR,"must be (t)urbine, (l)evel, (v)olume, (o)ther","Flag - (T)urbine, (L)evel, (V)olume, (O)ther",~ METER LIQUID (n),PRD
